Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2500,864,929,2,143,166,0,0,194,15,42420,2,12,0,4,386,261.96,2,0.0,41.9136
2500,864,929,2,143,166,0,0,194,15,42420,2,55,0,5,839,731.94,3,0.0,219.582
2296,732,787,2,237,201,1,0,266,3,90036,3,946,1,10,1433,14.62,2,0.0,6.8714
4372,519,568,3,705,687,0,0,153,8,33311,2,319,0,16,366,957.5775,5,0.45,-383.031
4372,519,568,3,705,687,0,0,153,8,33311,2,1316,1,14,573,22.368,2,0.2,2.5164
201,125,128,3,88,113,0,0,266,3,90032,3,185,0,9,570,48.86,7,0.0,14.1694
201,125,128,3,88,113,0,0,266,3,90032,3,562,1,2,1129,7.28,4,0.0,1.9656
201,125,128,3,88,113,0,0,266,3,90032,3,1761,2,13,1092,907.152,6,0.2,90.7152
201,125,128,3,88,113,0,0,266,3,90032,3,794,1,3,499,18.504,3,0.2,5.7825
201,125,128,3,88,113,0,0,266,3,90032,3,437,1,1,302,114.9,5,0.0,34.47
201,125,128,3,88,113,0,0,266,3,90032,3,328,0,16,427,1706.184,9,0.2,85.3092
201,125,128,3,88,113,0,0,266,3,90032,3,1750,2,13,965,911.424,4,0.2,68.3568
3084,999,1078,3,2,31,0,0,96,31,28027,2,1167,1,12,1756,15.552,3,0.2,5.4432
2655,891,958,3,338,336,0,0,452,45,98103,3,781,1,3,648,407.976,3,0.2,132.5922
4390,556,604,3,330,319,2,0,154,41,76106,0,421,1,1,822,68.81,5,0.8,-123.858
4390,556,604,3,330,319,2,0,154,41,76106,0,663,1,3,1512,2.544,3,0.8,-3.816
81,258,272,3,597,603,0,0,272,47,53711,0,1408,1,14,1518,665.88,6,0.0,13.3176
775,101,101,2,18,17,0,0,513,42,84084,3,1294,1,14,660,55.5,2,0.0,9.99
527,187,199,2,792,792,0,0,438,3,94109,3,567,1,2,1150,8.56,2,0.0,2.4824
527,187,199,2,792,792,0,0,438,3,94109,3,1749,2,13,436,213.48,3,0.2,16.011
527,187,199,2,792,792,0,0,438,3,94109,3,730,1,3,1633,22.72,4,0.2,7.384
2277,894,961,3,417,437,1,0,158,25,68025,0,477,1,2,1124,19.46,7,0.0,5.0596
2277,894,961,3,417,437,1,0,158,25,68025,0,408,1,1,78,60.34,7,0.0,15.6884
4959,1080,1164,2,684,669,0,0,374,36,19140,1,95,0,5,746,71.372,2,0.3,-1.0196
890,507,552,3,249,256,0,0,351,42,84057,3,319,0,16,366,1044.63,3,0.0,240.2649
2037,606,654,2,258,261,0,0,266,3,90049,3,702,1,3,1624,11.648,2,0.2,4.2224
2037,606,654,2,258,261,0,0,266,3,90049,3,1546,2,0,914,90.57,3,0.0,11.7741
4458,500,543,3,738,765,0,0,374,36,19140,1,48,0,4,1351,3083.43,7,0.5,-1665.0522
4458,500,543,3,738,765,0,0,374,36,19140,1,655,1,3,265,9.618,2,0.7,-7.0532
4458,500,543,3,738,765,0,0,374,36,19140,1,310,0,9,881,124.2,3,0.2,15.525
4458,500,543,3,738,765,0,0,374,36,19140,1,860,1,7,1284,3.264,2,0.2,1.1016
4458,500,543,3,738,765,0,0,374,36,19140,1,610,1,2,279,86.304,6,0.2,9.7092
4458,500,543,3,738,765,0,0,374,36,19140,1,695,1,3,73,6.858,6,0.7,-5.715
4458,500,543,3,738,765,0,0,374,36,19140,1,526,1,2,1031,15.76,2,0.2,3.546
2970,1166,1259,2,482,502,2,0,207,41,77095,0,1034,1,12,537,29.472,3,0.2,9.9468
1972,893,958,0,300,297,1,0,406,41,75080,0,1861,2,13,725,1097.544,7,0.2,123.4737
1972,893,958,0,300,297,1,0,406,41,75080,0,265,0,9,593,190.92,5,0.6,-147.963
1026,590,639,3,704,712,2,0,207,41,77041,0,875,1,7,6,113.328,9,0.2,35.415
1026,590,639,3,704,712,2,0,207,41,77041,0,20,0,4,167,532.3992,3,0.32,-46.9764
1026,590,639,3,704,712,2,0,207,41,77041,0,120,0,5,752,212.058,3,0.3,-15.147
1026,590,639,3,704,712,2,0,207,41,77041,0,1696,2,13,1273,371.168,4,0.2,41.7564
3208,1130,1221,3,452,460,1,0,321,11,60540,0,1830,2,13,1244,147.168,4,0.2,16.5564
